fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.25,11035,2.0,0.0
compact,0,0.25,61603,2.0,0.0
compact,0,0.25,5779,2.0,0.0
compact,0,0.25,30615,2.0,0.0
compact,0,0.25,35184,2.0,0.0
compact,0,0.25,52447,2.0,0.0
compact,0,0.25,19117,2.0,0.0
compact,0,0.25,18934,2.0,0.0
compact,0,0.25,28902,2.0,0.0
compact,0,0.25,11524,2.0,0.0
compact,0,0.3,45240,2.0,0.0
compact,0,0.3,23230,2.0,0.0
compact,0,0.3,65155,2.0,0.0
compact,0,0.3,82809,2.0,0.0
compact,0,0.3,5677,2.0,0.0
compact,0,0.3,52796,2.0,0.0
compact,0,0.3,46897,2.0,0.0
compact,0,0.3,90559,2.0,0.0
compact,0,0.3,38775,2.0,0.0
compact,0,0.3,16756,2.0,0.0
compact,0,0.3,29551,2.0,0.0
compact,0,0.3,73575,2.0,0.0
compact,0,0.3,1104,2.0,0.0
compact,0,0.3,90527,2.0,0.0
compact,0,0.3,98995,2.0,0.0
compact,0,0.3,35564,2.0,0.0
compact,0,0.3,87119,2.0,0.0
compact,0,0.3,81477,2.0,0.0
compact,0,0.3,5862,2.0,0.0
compact,0,0.3,66578,2.0,0.0
compact,0,0.3,82077,2.0,0.0
compact,0,0.3,24294,2.0,0.0
compact,0,0.3,68937,2.0,0.0
compact,0,0.3,78434,2.0,0.0
compact,0,0.3,49941,2.0,0.0
compact,0,0.3,77737,2.0,0.0
compact,0,0.3,71425,2.0,0.0
compact,0,0.3,49360,2.0,0.0
compact,0,0.3,87525,2.0,0.0
compact,0,0.3,58591,2.0,0.0
compact,0,0.3,25439,2.0,0.0
compact,0,0.3,62885,2.0,0.0
compact,0,0.3,56,2.0,0.0
compact,0,0.3,51267,2.0,0.0
compact,0,0.3,40086,2.0,0.0
compact,0,0.3,46016,2.0,0.0
compact,0,0.3,38158,2.0,0.0
compact,0,0.3,78286,2.0,0.0
compact,0,0.3,45588,2.0,0.0
compact,0,0.3,31886,2.0,0.0
compact,0,0.3,4383,2.0,0.0
compact,0,0.3,33200,2.0,0.0
compact,0,0.3,65344,2.0,0.0
compact,0,0.3,61010,2.0,0.0
compact,0,0.3,47678,2.0,0.0
compact,0,0.3,66684,2.0,0.0
compact,0,0.3,76232,2.0,0.0
compact,0,0.3,26255,2.0,0.0
compact,0,0.3,73096,2.0,0.0
compact,0,0.3,43438,2.0,0.0
compact,0,0.3,5098,2.0,0.0
