fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
patchy,0,0.1,7357558571,2.0,0.0
interstitial,0,0.1,3556407089,2.0,0.0
compact,0,0.1,6288530517,2.0,0.0
patchy,0,0.1,9052842836,2.0,0.0
interstitial,0,0.1,8147802193,2.0,0.0
diffuse,0,0.05,527597011,2.0,0.0
patchy,0,0.1,3556407089,2.0,0.0
interstitial,0,0.1,6657838753,2.0,0.0
compact,0,0.1,5126742590,2.0,0.0
diffuse,0,0.05,1258989199,2.0,0.0
interstitial,0,0.1,2429371439,2.0,0.0
patchy,0,0.1,8147802193,2.0,0.0
compact,0,0.1,4601658087,2.0,0.0
diffuse,0,0.05,9354132757,2.0,0.0
interstitial,0,0.1,7843554712,2.0,0.0
patchy,0,0.1,6657838753,2.0,0.0
compact,0,0.1,7828718996,2.0,0.0
diffuse,0,0.05,7039289027,2.0,0.0
interstitial,0,0.1,7773847238,2.0,0.0
patchy,0,0.1,2429371439,2.0,0.0
interstitial,0,0.1,4936034257,2.0,0.0
patchy,0,0.1,7843554712,2.0,0.0
compact,0,0.1,3188582674,2.0,0.0
diffuse,0,0.05,1172929260,2.0,0.0
interstitial,0,0.1,5859153705,2.0,0.0
patchy,0,0.1,7773847238,2.0,0.0
compact,0,0.1,3320004656,2.0,0.0
diffuse,0,0.1,2323000660,2.0,0.0
interstitial,0,0.1,6288530517,2.0,0.0
patchy,0,0.1,4936034257,2.0,0.0
interstitial,0,0.1,5126742590,2.0,0.0
compact,0,0.1,6101075833,2.0,0.0
diffuse,0,0.1,8281057198,2.0,0.0
patchy,0,0.1,5859153705,2.0,0.0
interstitial,0,0.1,4601658087,2.0,0.0
compact,0,0.1,6668470416,2.0,0.0
patchy,0,0.1,6288530517,2.0,0.0
diffuse,0,0.1,5279693496,2.0,0.0
interstitial,0,0.1,7828718996,2.0,0.0
patchy,0,0.1,5126742590,2.0,0.0
interstitial,0,0.1,3188582674,2.0,0.0
diffuse,0,0.1,9056029292,2.0,0.0
compact,0,0.1,2625501404,2.0,0.0
patchy,0,0.1,4601658087,2.0,0.0
